SKU,date,PrevAVGCost,PrevAssignedCost,AVGCost,LatestDateCost,Type,GenPrice
A-A-00013,2019-01-04,,,,,A,
A-E-00024,2019-01-04,19.60606061,20.0,19.81818182,19.28282828,A,28.0
A-E-00126,2019-01-04,19.06060606,21.0,21.06060606,20.98989899,A,29.0
A-E-00026,2019-01-04,19.50505051,20.0,19.65656566,20.26262626,A,28.0
A-E-00103,2019-01-04,20.72727273,21.0,20.54545455,20.39393939,A,29.0
A-A-00014,2019-01-04,43.12765957,46.0,37.68085106,37.43617021,A,62.0
A-A-00015,2019-01-04,46.07446809,48.0,39.5,42.57446809,A,67.0
A-A-00016,2019-01-04,83.39393939,105.0,46.03030303,33.66666667,A,87.0
A-A-00018,2019-01-04,78.14141414,85.0,98.21212121,90.01010101,C,137.0
A-A-00019,2019-01-04,62.09090909,73.0,71.54545455,69.86868687,C,132.0
A-A-00020,2019-01-04,0.0,31.0,0.0,0.0,A,48.0
A-D-00012,2019-01-04,7.242424242,8.0,6.616161616,6.858585859,A,12.0
A-H-00010,2019-01-04,29.22994652,31.0,32.99465241,34.23529412,C,57.0
A-A-00021,2019-01-04,39.86868687,41.0,39.61616162,38.84848485,A,57.0
A-A-00022,2019-01-04,33.35353535,34.0,29.14141414,28.41414141,A,45.0
A-A-00023,2019-01-04,20.28723404,21.0,14.80851064,21.10638298,A,31.0
A-A-00108,2019-01-04,19.26262626,21.0,14.06060606,20.04040404,A,31.0
A-E-00028,2019-01-04,73.16161616,90.0,70.47474747,73.1010101,C,138.0
A-G-00002,2019-01-04,0.0,30.0,0.0,0.0,C,48.0
A-G-00003,2019-01-04,94.52525253,100.0,81.86868687,65.56565657,C,131.0
A-D-00061,2019-01-04,15.15151515,18.0,17.31313131,15.15151515,C,28.0
A-D-00013,2019-01-04,32.54255319,44.0,35.81914894,50.80851064,A,62.0
A-D-00015,2019-01-04,105.62626259999999,106.0,95.11111111,91.82828283,C,134.0
A-D-00016,2019-01-04,42.08080808,58.0,41.42424242,39.55555556,A,69.0
A-D-00018,2019-01-04,58.01010101,60.0,59.41414141,55.1010101,A,87.0
A-D-00021,2019-01-04,13.56565657,14.0,13.60606061,12.2020202,A,23.0
A-D-00086,2019-01-04,15.52525253,18.0,16.02020202,21.04040404,A,30.0
A-D-00022,2019-01-04,15.46464646,16.0,14.37373737,12.36363636,A,24.0
A-D-00057,2019-01-04,39.25641026,40.0,36.48717949,31.38461538,A,55.0
A-D-00024,2019-01-04,81.44444444,86.0,55.08080808,49.67676768,A,88.0
A-D-00026,2019-01-04,44.31313131,61.0,62.92929293,91.82828283,A,131.0
A-D-00029,2019-01-04,185.6767677,253.0,215.4848485,219.58585860000002,A,301.0
A-D-00030,2019-01-04,48.86868687,60.0,46.76767677,61.09090909,A,88.0
A-D-00068,2019-01-04,0.0,27.0,0.0,0.0,A,40.0
A-D-00034,2019-01-04,81.48148148,105.0,106.8888889,122.4814815,A,167.0
